PPD,KOD SEKOLAH,NAMA SEKOLAH,BIL PELAJAR,ALAMAT,POSKOD,BANDAR,NEGERI,DAERAH,NO TEL,KOD A,Page,Kod Urutan,ZON HD,Nama HD,NO SAP,CO Number,MONTH (ejaan penuh melayu huruf besar),YEAR,No Kontrak,No Tender,BIL TP,BIL CK,Column1
PPD BESUT,TBA0014,SK KELUANG,258,"KAMPUNG KELUANG,",22200,"KAMPONG RAJA,",TERENGGANU,BESUT,09-6957223,BESUT,11,11,B,SHARIFAH MUNIRAH,BESUT011 (CO8/NOVEMBER/2025) ,CO8,NOVEMBER,2025,CO250000000558889,QT240000000030911,44,0,
PPD BESUT,TBA0015,SK BUKIT TEMPURONG,156,"KAMPUNG TASIK MENGKUANG,",22000,"JERTEH,",TERENGGANU,BESUT,09-6943148,BESUT,12,12,D,WALI KHAN,BESUT012 (CO8/NOVEMBER/2025) ,CO8,NOVEMBER,2025,CO250000000558889,QT240000000030911,44,0,
PPD BESUT,TBA0017,SK KAMPUNG BAHARU,289,"KAMPUNG BAHARU,",22300,"KUALA BESUT,",TERENGGANU,BESUT,09-6910678,BESUT,13,13,A,AHMAD TARMIZI MOHAMED,BESUT013 (CO8/NOVEMBER/2025) ,CO8,NOVEMBER,2025,CO250000000558889,QT240000000030911,44,0,
PPD BESUT,TBA0018,SK ALOR PEROI,372,"KAMPUNG ALOR PEROI,",22300,"KUALA BESUT,",TERENGGANU,BESUT,09-6910318,BESUT,14,14,A,AHMAD TARMIZI MOHAMED,BESUT014 (CO8/NOVEMBER/2025) ,CO8,NOVEMBER,2025,CO250000000558889,QT240000000030911,44,0,
PPD BESUT,TBA0019,SK TOK RAJA,80,"KAMPUNG TOK RAJA,",22000,"JERTEH,",TERENGGANU,BESUT,09-6976273,BESUT,15,15,A,AHMAD TARMIZI MOHAMED,BESUT015 (CO8/NOVEMBER/2025) ,CO8,NOVEMBER,2025,CO250000000558889,QT240000000030911,44,0,
PPD BESUT,TBA0022,SK PENGKALAN NYIREH,307,"KAMPUNG PENGKALAN NYIREH,",22200,"KAMPONG RAJA,",TERENGGANU,BESUT,09-6956058,BESUT,16,16,A,AHMAD TARMIZI MOHAMED,BESUT016 (CO8/NOVEMBER/2025) ,CO8,NOVEMBER,2025,CO250000000558889,QT240000000030911,44,0,
PPD BESUT,TBA0023,SK PUSAT JERTEH,228,KAMPUNG GONG RENGAS,22000,"JERTEH,",TERENGGANU,BESUT,09-6971144,BESUT,17,17,E,SITI NOOR IDAYU,BESUT017 (CO8/NOVEMBER/2025) ,CO8,NOVEMBER,2025,CO250000000558889,QT240000000030911,44,0,
PPD BESUT,TBA0024,SK BUKIT KENAK,270,"KAMPUNG BUKIT KENAK,",22000,"JERTEH,",TERENGGANU,BESUT,09-6973790,BESUT,18,18,D,WALI KHAN,BESUT018 (CO8/NOVEMBER/2025) ,CO8,NOVEMBER,2025,CO250000000558889,QT240000000030911,44,0,
PPD BESUT,TBA0025,SK TANAH MERAH,182,"KAMPUNG GONG TANAH MERAH,",22000,"JERTEH,",TERENGGANU,BESUT,09-6979418,BESUT,19,19,D,WALI KHAN,BESUT019 (CO8/NOVEMBER/2025) ,CO8,NOVEMBER,2025,CO250000000558889,QT240000000030911,44,0,
PPD BESUT,TBA0026,SK APAL,156,"KAMPUNG APAL,",22020,"JERTEH,",TERENGGANU,BESUT,09-6942146,BESUT,20,20,D,WALI KHAN,BESUT020 (CO8/NOVEMBER/2025) ,CO8,NOVEMBER,2025,CO250000000558889,QT240000000030911,44,0,
PPD BESUT,TBA0027,SK JABI,267,"KAMPUNG JABI,",22020,"JERTEH,",TERENGGANU,BESUT,09-6941809,BESUT,21,21,D,WALI KHAN,BESUT021 (CO8/NOVEMBER/2025) ,CO8,NOVEMBER,2025,CO250000000558889,QT240000000030911,44,0,
PPD BESUT,TBA0028,SK RENEK,141,"KAMPUNG RENEK,",22020,"JERTEH,",TERENGGANU,BESUT,09-6974944,BESUT,22,22,C,NOIDORA ABDULLAH,BESUT022 (CO8/NOVEMBER/2025) ,CO8,NOVEMBER,2025,CO250000000558889,QT240000000030911,44,0,
PPD BESUT,TBA0029,SK OH,80,"KAMPUNG OH,",22020,"JERTEH,",TERENGGANU,BESUT,09-6920030,BESUT,23,23,B,SHARIFAH MUNIRAH,BESUT023 (CO8/NOVEMBER/2025) ,CO8,NOVEMBER,2025,CO250000000558889,QT240000000030911,44,0,
PPD BESUT,TBA0030,SK TEMPINIS,241,"KAMPUNG TEMPINIS,",22020,"JERTEH,",TERENGGANU,BESUT,09-6975189,BESUT,24,24,F,MOHD HAFIZI TALIB,BESUT024 (CO8/NOVEMBER/2025) ,CO8,NOVEMBER,2025,CO250000000558889,QT240000000030911,44,0,
PPD BESUT,TBA0031,SK BUKIT JEROK,145,"KAMPUNG ANAK MUSANG,",22020,"JERTEH,",TERENGGANU,BESUT,09-6977721,BESUT,25,25,C,NOIDORA ABDULLAH,BESUT025 (CO8/NOVEMBER/2025) ,CO8,NOVEMBER,2025,CO250000000558889,QT240000000030911,44,0,
PPD BESUT,TBA0032,SK TOK DOR,100,"KAMPUNG TOK DOR,",22020,"JERTEH,",TERENGGANU,BESUT,09-6920978,BESUT,26,26,C,NOIDORA ABDULLAH,BESUT026 (CO8/NOVEMBER/2025) ,CO8,NOVEMBER,2025,CO250000000558889,QT240000000030911,44,0,
PPD BESUT,TBA0033,SK KAMPUNG BARU TOK DOR,89,"KAMPUNG BARU TOK DOR,",22020,"JERTEH,",TERENGGANU,BESUT,09-6921615,BESUT,27,27,C,NOIDORA ABDULLAH,BESUT027 (CO8/NOVEMBER/2025) ,CO8,NOVEMBER,2025,CO250000000558889,QT240000000030911,44,0,
PPD BESUT,TBA0043,SK PADANG LUAS,256,"KAMPUNG PADANG LUAS,",22000,"JERTEH,",TERENGGANU,BESUT,09-6972359,BESUT,28,28,E,SITI NOOR IDAYU,BESUT028 (CO8/NOVEMBER/2025) ,CO8,NOVEMBER,2025,CO250000000558889,QT240000000030911,44,0,
PPD BESUT,TBA0044,SK BUKIT PUTERI,214,"KAMPUNG DENGIR,",22000,"JERTEH,",TERENGGANU,BESUT,09-6971409,BESUT,29,29,E,SITI NOOR IDAYU,BESUT029 (CO8/NOVEMBER/2025) ,CO8,NOVEMBER,2025,CO250000000558889,QT240000000030911,44,0,
PPD BESUT,TBA0045,SK AYER TERJUN,229,"KAMPUNG AYER TERJUN,",22000,"JERTEH,",TERENGGANU,BESUT,09-6921004,BESUT,30,30,E,SITI NOOR IDAYU,BESUT030 (CO8/NOVEMBER/2025) ,CO8,NOVEMBER,2025,CO250000000558889,QT240000000030911,44,0,
PPD BESUT,TBA0046,SK TOK MOTONG,164,"KAMPUNG TOK MOTONG,",22000,"JERTEH,",TERENGGANU,BESUT,09-6979192,BESUT,31,31,E,SITI NOOR IDAYU,BESUT031 (CO8/NOVEMBER/2025) ,CO8,NOVEMBER,2025,CO250000000558889,QT240000000030911,44,0,
PPD BESUT,TBA0048,SK DARAU,211,"KAMPUNG DARAU,",22000,"JERTEH,",TERENGGANU,BESUT,09-6972885,BESUT,32,32,B,SHARIFAH MUNIRAH,BESUT032 (CO8/NOVEMBER/2025) ,CO8,NOVEMBER,2025,CO250000000558889,QT240000000030911,44,0,
PPD BESUT,TBA0049,SK PASIR AKAR,351,"KAMPUNG PASIR AKAR,",22000,"JERTEH,",TERENGGANU,BESUT,09-6902141,BESUT,33,33,E,SITI NOOR IDAYU,BESUT033 (CO8/NOVEMBER/2025) ,CO8,NOVEMBER,2025,CO250000000558889,QT240000000030911,44,0,
PPD BESUT,TBA0050,SK SERI PAYONG,261,"KAMPUNG BUKIT PAYONG,",22010,"JERTEH,",TERENGGANU,BESUT,09-60612595,BESUT,34,34,E,SITI NOOR IDAYU,BESUT034 (CO8/NOVEMBER/2025) ,CO8,NOVEMBER,2025,CO250000000558889,QT240000000030911,44,0,
PPD BESUT,TBA0051,SK (FELDA) TENANG,113,"KAMPUNG FELDA TENANG,",22010,"JERTEH,",TERENGGANU,BESUT,09-6062001,BESUT,35,35,E,SITI NOOR IDAYU,BESUT035 (CO8/NOVEMBER/2025) ,CO8,NOVEMBER,2025,CO250000000558889,QT240000000030911,44,0,
PPD BESUT,TBA0052,SK PANCHOR,100,"KAMPUNG PANCHOR,",22010,"JERTEH,",TERENGGANU,BESUT,09-6060488,BESUT,36,36,E,SITI NOOR IDAYU,BESUT036 (CO8/NOVEMBER/2025) ,CO8,NOVEMBER,2025,CO250000000558889,QT240000000030911,44,0,
PPD BESUT,TBA0053,SK KAMPUNG LA,77,"KAMPUNG LA,",22010,"JERTEH,",TERENGGANU,BESUT,09-6060810,BESUT,37,37,B,SHARIFAH MUNIRAH,BESUT037 (CO8/NOVEMBER/2025) ,CO8,NOVEMBER,2025,CO250000000558889,QT240000000030911,44,0,
PPD BESUT,TBA0054,SK KERUAK,213,"KAMPUNG KERUAK,",22010,"JERTEH,",TERENGGANU,BESUT,09-606 0830,BESUT,38,38,C,NOIDORA ABDULLAH,BESUT038 (CO8/NOVEMBER/2025) ,CO8,NOVEMBER,2025,CO250000000558889,QT240000000030911,44,0,
PPD BESUT,TBA0055,SK KUALA KUBANG,98,"KAMPUNG KUALA KUBANG,",22020,"JERTEH,",TERENGGANU,BESUT,09-6942363,BESUT,39,39,C,NOIDORA ABDULLAH,BESUT039 (CO8/NOVEMBER/2025) ,CO8,NOVEMBER,2025,CO250000000558889,QT240000000030911,44,0,
PPD BESUT,TBA0067,SK (FELDA) SELASIH,88,"KAMPUNG FELDA SELASIH,",22020,"JERTEH,",TERENGGANU,BESUT,09-6978167,BESUT,40,40,F,MOHD HAFIZI TALIB,BESUT040 (CO8/NOVEMBER/2025) ,CO8,NOVEMBER,2025,CO250000000558889,QT240000000030911,44,0,
PPD BESUT,TBA0068,SK PENDIDIKAN KHAS BESUT,23,"KAMPUNG ALOR LINTANG,",22200,"KAMPONG RAJA,",TERENGGANU,BESUT,09-6902430,BESUT,41,41,D,WALI KHAN,BESUT041 (CO8/NOVEMBER/2025) ,CO8,NOVEMBER,2025,CO250000000558889,QT240000000030911,44,0,
PPD BESUT,TBA0069,SK KUALA BESUT 2,287,KUALA BESUT,22300,"KUALA BESUT,",TERENGGANU,BESUT,09-6902354,BESUT,42,42,A,AHMAD TARMIZI MOHAMED,BESUT042 (CO8/NOVEMBER/2025) ,CO8,NOVEMBER,2025,CO250000000558889,QT240000000030911,44,0,
PPD BESUT,TBA0070,SK TENGKU MAHMUD 2,259,"JALAN GONG KEPAS DALAM,",22200,"KAMPONG RAJA,",TERENGGANU,BESUT,09-6957795,BESUT,43,43,C,NOIDORA ABDULLAH,BESUT043 (CO8/NOVEMBER/2025) ,CO8,NOVEMBER,2025,CO250000000558889,QT240000000030911,44,0,
PPD BESUT,TBA0072,SK LUBUK KAWAH,304,"KAMPUNG CHERANG MELILING,",22000,"JERTEH,",TERENGGANU,BESUT,09-6976397,BESUT,44,44,A,AHMAD TARMIZI MOHAMED,BESUT044 (CO8/NOVEMBER/2025) ,CO8,NOVEMBER,2025,CO250000000558889,QT240000000030911,44,0,
PPD BESUT,TBA0073,SK ALOR KELADI,144,"KAMPUNG ALOR KELADI,",22000,"JERTEH,",TERENGGANU,BESUT,09-6971946,BESUT,45,45,c,NOIDORA ABDULLAH,BESUT045 (CO8/NOVEMBER/2025) ,CO8,NOVEMBER,2025,CO250000000558889,QT240000000030911,44,0,
PPD BESUT,TBA0074,SK KAMPUNG NAIL,289,"KAMPUNG NAIL,",22300,"KUALA BESUT,",TERENGGANU,BESUT,09-6910218,BESUT,46,46,A,AHMAD TARMIZI MOHAMED,BESUT046 (CO8/NOVEMBER/2025) ,CO8,NOVEMBER,2025,CO250000000558889,QT240000000030911,44,0,
PPD BESUT,TBA0075,SK SEBERANG JERTEH,117,"KAMPUNG PENGKALAN SENTOL,",22000,"JERTEH,",TERENGGANU,BESUT,09-6975229,BESUT,47,47,F,MOHD HAFIZI TALIB,BESUT047 (CO8/NOVEMBER/2025) ,CO8,NOVEMBER,2025,CO250000000558889,QT240000000030911,44,0,
PPD BESUT,TBA0076,SK PERMAISURI NUR ZAHIRAH,329,"KAMPUNG LIMBONGAN,",22200,"KAMPONG RAJA,",TERENGGANU,BESUT,09-6953248,BESUT,48,48,A,AHMAD TARMIZI MOHAMED,BESUT048 (CO8/NOVEMBER/2025) ,CO8,NOVEMBER,2025,CO250000000558889,QT240000000030911,44,0,
PPD BESUT,TBA0077,SK PELAGAT,159,"KAMPUNG PADANG LUAS,",22000,"JERTEH,",TERENGGANU,BESUT,09-6902296,BESUT,49,49,C,NOIDORA ABDULLAH,BESUT049 (CO8/NOVEMBER/2025) ,CO8,NOVEMBER,2025,CO250000000558889,QT240000000030911,44,0,
PPD BESUT,TBA0078,SK ANAK IKAN,165,"KAMPUNG TOK DOR,",22000,"JERTEH,",TERENGGANU,BESUT,09-6925298,BESUT,50,50,C,NOIDORA ABDULLAH,BESUT050 (CO8/NOVEMBER/2025) ,CO8,NOVEMBER,2025,CO250000000558889,QT240000000030911,44,0,
PPD BESUT,TBA0079,SK PADANG LANDAK,86,"KAMPUNG PADANG LANDAK,",22000,"JERTEH,",TERENGGANU,BESUT,09-6979045,BESUT,51,51,E,SITI NOOR IDAYU,BESUT051 (CO8/NOVEMBER/2025) ,CO8,NOVEMBER,2025,CO250000000558889,QT240000000030911,44,0,
PPD BESUT,TBA0080,SK NYIUR TUJUH,196,"KAMPUNG NYIUR TUJUH,",22000,"JERTEH,",TERENGGANU,BESUT,09-6920080,BESUT,52,52,F,MOHD HAFIZI TALIB,BESUT052 (CO8/NOVEMBER/2025) ,CO8,NOVEMBER,2025,CO250000000558889,QT240000000030911,44,0,
PPD BESUT,TBB0061,SK TENGKU MAHMUD,184,"KAMPUNG ALOR LINTANG,",22200,KAMPUNG RAJA,TERENGGANU,BESUT,09-6979346,BESUT,53,53,A,AHMAD TARMIZI MOHAMED,BESUT053 (CO8/NOVEMBER/2025) ,CO8,NOVEMBER,2025,CO250000000558889,QT240000000030911,44,0,
PPD BESUT,TBC0063,SJK(C) CHUNG HWA,43,"SIMPANG TIGA,",22000,JERTEH,TERENGGANU,BESUT,09-6971632,BESUT,54,54,C,NOIDORA ABDULLAH,BESUT054 (CO8/NOVEMBER/2025) ,CO8,NOVEMBER,2025,CO250000000558889,QT240000000030911,44,0,
PPD SETIU,TBA6006,SK LUBOK TERAS,62,W/POS KUALA TELEMONG,21210,,TERENGGANU,SETIU,09-8241082,SETIU,1,1,D,WALI KHAN,SETIU001 (CO8/NOVEMBER/2025) ,CO8,NOVEMBER,2025,CO250000000558889,QT240000000030911,44,0,
PPD SETIU,TBA6009,SK KAMPUNG FIKRI,51,KG. FIKRI PANTAI,22110,PERMAISURI,TERENGGANU,SETIU,09-6021207,SETIU,2,2,B,SHARIFAH MUNIRAH,SETIU002 (CO8/NOVEMBER/2025) ,CO8,NOVEMBER,2025,CO250000000558889,QT240000000030911,44,0,
PPD SETIU,TBA6010,SK KUALA SETIU,85,KG. KUALA SETIU,22050,PERMAISURI,TERENGGANU,SETIU,09-6924322,SETIU,3,3,C,NOIDORA ABDULLAH,SETIU003 (CO8/NOVEMBER/2025) ,CO8,NOVEMBER,2025,CO250000000558889,QT240000000030911,44,0,
PPD SETIU,TBA6011,SK PENAREK,83,KG. PENAREK,22120,PERMAISURI,TERENGGANU,SETIU,09-8241368,SETIU,4,4,C,NOIDORA ABDULLAH,SETIU004 (CO8/NOVEMBER/2025) ,CO8,NOVEMBER,2025,CO250000000558889,QT240000000030911,44,0,
PPD SETIU,TBA6016,SK MANGKOK,57,KG. MANGKOK,22120,PERMAISURI,TERENGGANU,SETIU,09-6924723,SETIU,5,5,E,SITI NOOR IDAYU,SETIU005 (CO8/NOVEMBER/2025) ,CO8,NOVEMBER,2025,CO250000000558889,QT240000000030911,44,0,
PPD SETIU,TBA6020,SK TELAGA PAPAN,119,KAMPUNG TELAGA PAPAN,21010,PERMAISURI,TERENGGANU,SETIU,09-8248964,SETIU,6,6,C,NOIDORA ABDULLAH,SETIU006 (CO8/NOVEMBER/2025) ,CO8,NOVEMBER,2025,CO250000000558889,QT240000000030911,44,0,
PPD SETIU,TBA6021,SK BARI,119,MERANG,21010,PERMAISURI,TERENGGANU,SETIU,09-8240025,SETIU,7,7,C,NOIDORA ABDULLAH,SETIU007 (CO8/NOVEMBER/2025) ,CO8,NOVEMBER,2025,CO250000000558889,QT240000000030911,44,0,
PPD SETIU,TBA6034,SK BINTANG,215,BANDAR PERMAISURI,22030,PERMAISURI,TERENGGANU,SETIU,09-6974705,SETIU,8,8,D,WALI KHAN,SETIU008 (CO8/NOVEMBER/2025) ,CO8,NOVEMBER,2025,CO250000000558889,QT240000000030911,44,0,
PPD SETIU,TBA6035,SK GUNTONG,155,KAMPUNG GUNTONG,22040,,TERENGGANU,SETIU,09-6927252,SETIU,9,9,E,SITI NOOR IDAYU,SETIU009 (CO8/NOVEMBER/2025) ,CO8,NOVEMBER,2025,CO250000000558889,QT240000000030911,44,0,
PPD SETIU,TBA6036,SK KAMPUNG BULOH,133,BANDAR PERMAISURI,22100,,TERENGGANU,SETIU,09-6099332,SETIU,10,10,E,SITI NOOR IDAYU,SETIU010 (CO8/NOVEMBER/2025) ,CO8,NOVEMBER,2025,CO250000000558889,QT240000000030911,44,0,
PPD SETIU,TBA6037,SK KAMPONG BESUT,75,"JALAN ULU SELADANG, KG. BESUT",22100,PERMAISURI,TERENGGANU,SETIU,09-6923618,SETIU,11,11,D,WALI KHAN,SETIU011 (CO8/NOVEMBER/2025) ,CO8,NOVEMBER,2025,CO250000000558889,QT240000000030911,44,0,
PPD SETIU,TBA6038,SK PUTERA JAYA,71,PUTERA JAYA,22100,PERMAISURI,TERENGGANU,SETIU,09-6092600,SETIU,12,12,C,NOIDORA ABDULLAH,SETIU012 (CO8/NOVEMBER/2025) ,CO8,NOVEMBER,2025,CO250000000558889,QT240000000030911,44,0,
PPD SETIU,TBA6040,SK KG. RAHMAT,140,FELDA CHALOK,21450,PERMAISURI,TERENGGANU,SETIU,09-6097620,SETIU,13,13,D,WALI KHAN,SETIU013 (CO8/NOVEMBER/2025) ,CO8,NOVEMBER,2025,CO250000000558889,QT240000000030911,44,0,
PPD SETIU,TBA6041,SK CHALOK,190,KG. GONG TERAP,21450,PERMAISURI,TERENGGANU,SETIU,09-6576866,SETIU,14,14,B,SHARIFAH MUNIRAH,SETIU014 (CO8/NOVEMBER/2025) ,CO8,NOVEMBER,2025,CO250000000558889,QT240000000030911,44,0,
PPD SETIU,TBA6042,SK BUKIT PUTERA,170,KAMPUNG BUKIT PUTERA CHALOK,21450,PERMAISURI,TERENGGANU,SETIU,09-6576917,SETIU,15,15,F,MOHD HAFIZI TALIB,SETIU015 (CO8/NOVEMBER/2025) ,CO8,NOVEMBER,2025,CO250000000558889,QT240000000030911,44,0,
PPD SETIU,TBA6056,SK GUNTONG LUAR,92,KG GUNTONG LUAR,22100,PERMAISURI,TERENGGANU,SETIU,09-6097931,SETIU,16,16,F,MOHD HAFIZI TALIB,SETIU016 (CO8/NOVEMBER/2025) ,CO8,NOVEMBER,2025,CO250000000558889,QT240000000030911,44,0,
PPD SETIU,TBA6058,SK MERANG,228,BANDAR PERMAISURI,21010,,TERENGGANU,SETIU,09-6532063,SETIU,17,17,A,AHMAD TARMIZI MOHAMED,SETIU017 (CO8/NOVEMBER/2025) ,CO8,NOVEMBER,2025,CO250000000558889,QT240000000030911,44,0,
PPD SETIU,TBA6066,SK (FELDA) CHALOK BARAT,133,FELDA CHALOK BARAT,21450,PERMAISURI,TERENGGANU,SETIU,09-6571099,SETIU,18,18,B,SHARIFAH MUNIRAH,SETIU018 (CO8/NOVEMBER/2025) ,CO8,NOVEMBER,2025,CO250000000558889,QT240000000030911,44,0,
PPD SETIU,TBA6068,SK SUNGAI TONG,88,KG. SUNGAI TONG,21500,PERMAISURI,TERENGGANU,SETIU,09-6572828,SETIU,19,19,F,MOHD HAFIZI TALIB,SETIU019 (CO8/NOVEMBER/2025) ,CO8,NOVEMBER,2025,CO250000000558889,QT240000000030911,44,0,
PPD SETIU,TBA6069,SK BATU 29,62,W/POS SUNGAI TONG,21500,PERMAISURI,TERENGGANU,SETIU,09-6571839,SETIU,20,20,F,MOHD HAFIZI TALIB,SETIU020 (CO8/NOVEMBER/2025) ,CO8,NOVEMBER,2025,CO250000000558889,QT240000000030911,44,0,
PPD SETIU,TBA6070,SK LANGKAP,63,KAMPUNG LANGKAP,21500,,TERENGGANU,SETIU,09-8244487,SETIU,21,21,C,NOIDORA ABDULLAH,SETIU021 (CO8/NOVEMBER/2025) ,CO8,NOVEMBER,2025,CO250000000558889,QT240000000030911,44,0,
PPD SETIU,TBA6071,SK PELONG,99,KG. BUKIT GENTING PELONG,21500,PERMAISURI,TERENGGANU,SETIU,09-8242627,SETIU,22,22,C,NOIDORA ABDULLAH,SETIU022 (CO8/NOVEMBER/2025) ,CO8,NOVEMBER,2025,CO250000000558889,QT240000000030911,44,0,
PPD SETIU,TBA6073,SK MERBAU MENYUSUT,31,SUNGAI TONG,21500,PERMAISURI,TERENGGANU,SETIU,09-8241623,SETIU,23,23,C,NOIDORA ABDULLAH,SETIU023 (CO8/NOVEMBER/2025) ,CO8,NOVEMBER,2025,CO250000000558889,QT240000000030911,44,0,
PPD SETIU,TBA6074,SK BUKIT MUNDOK,16,"NO. 48, PETI SURAT MASYARAKAT",21500,PERMAISURI,TERENGGANU,SETIU,09-8240926,SETIU,24,24,D,WALI KHAN,SETIU024 (CO8/NOVEMBER/2025) ,CO8,NOVEMBER,2025,CO250000000558889,QT240000000030911,44,0,
PPD SETIU,TBA6075,SK KG BUKIT ULU NERUS,40,KAMPUNG BUKIT ULU NERUS,21500,PERMAISURI,TERENGGANU,SETIU,09-8240642,SETIU,25,25,E,SITI NOOR IDAYU,SETIU025 (CO8/NOVEMBER/2025) ,CO8,NOVEMBER,2025,CO250000000558889,QT240000000030911,44,0,
PPD SETIU,TBA6080,SK PAK BA,18,KG. BARU PAK BA SG TONG,21500,PERMAISURI,TERENGGANU,SETIU,09-8241923,SETIU,26,26,E,SITI NOOR IDAYU,SETIU026 (CO8/NOVEMBER/2025) ,CO8,NOVEMBER,2025,CO250000000558889,QT240000000030911,44,0,
PPD SETIU,TBA6082,SK KAMPUNG FIKRI SUNGAI TONG,45,KAMPUNG FIKRI SUNGAI TONG,21500,PERMAISURI,TERENGGANU,SETIU,09-8242796,SETIU,27,27,D,WALI KHAN,SETIU027 (CO8/NOVEMBER/2025) ,CO8,NOVEMBER,2025,CO250000000558889,QT240000000030911,44,0,
PPD SETIU,TBA6084,SK SUNGAI LAS,17,KAMPUNG SUNGAI LAS,21500,PERMAISURI,TERENGGANU,SETIU,09-8244641,SETIU,28,28,D,WALI KHAN,SETIU028 (CO8/NOVEMBER/2025) ,CO8,NOVEMBER,2025,CO250000000558889,QT240000000030911,44,0,
PPD SETIU,TBA6085,SK RHU SEPULUH,131,KAMPUNG RHU SEPULUH,22120,PERMAISURI,TERENGGANU,SETIU,09-8247197,SETIU,29,29,C,NOIDORA ABDULLAH,SETIU029 (CO8/NOVEMBER/2025) ,CO8,NOVEMBER,2025,CO250000000558889,QT240000000030911,44,0,
PPD SETIU,TBA6086,SK BANGGOL,176,KAMPUNG BANGGOL JALAN PENARIK,22100,PERMAISURI,TERENGGANU,SETIU,09-6092337,SETIU,30,30,E,SITI NOOR IDAYU,SETIU030 (CO8/NOVEMBER/2025) ,CO8,NOVEMBER,2025,CO250000000558889,QT240000000030911,44,0,
PPD SETIU,TBA6087,SK PANCHOR MERAH,124,KAMPUNG PANCHOR MERAH,22100,PERMAISURI,TERENGGANU,SETIU,09-6923626,SETIU,31,31,F,MOHD HAFIZI TALIB,SETIU031 (CO8/NOVEMBER/2025) ,CO8,NOVEMBER,2025,CO250000000558889,QT240000000030911,44,0,
